title	short_title	link	saleprice	oldprice	reviews	percentoff
WD Blue 3D NAND Internal SSD 2.5 Inch SATA - 4 TB	WD Blue 3D NAND Internal 	/Blue-NAND-Internal-Inch-SATA/dp/B07QV3XGCP/ref=sr_1_148?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252046&s=black-friday&sr=1-148	289.99	470.99	103	38.42969065
Mosgo Hard Surface Path & Patio Cleaner, Clear	Mosgo Hard Surface Path &	/Mosgo-Surface-Patio-Cleaner-Clear/dp/B0852RWRK4/ref=sr_1_168?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252049&s=black-friday&sr=1-168	12.4	19.99	42	37.96898449
SANNCE 4CH Home CCTV DVR Camera System 1TB HDD, 4x1080P Outdoor Wide Angle Dome Security Cameras, P2P, 1080P EXIR Night Vision, Motion Alert w/Photo	SANNCE 4CH Home CCTV DVR 	/SANNCE-CCTV-1920x1080P-Weatherproof-Installation/dp/B01I9L76RG/ref=sr_1_51?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252024&s=black-friday&sr=1-51	124.79	199.99	131	37.60188009
Crucial CT1000X8SSD9 X8 1 TB Portable SSD â€“ Up to 1050 MB/s â€“ USB 3.2 â€“ External Solid State Drive, USB-C, USB-A	Crucial CT1000X8SSD9 X8 1	/Crucial-CT1000X8SSD9-Portable-USB-C-Black/dp/B07YD5TK4F/ref=sr_1_25?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-25	95.99	153.59	0	37.50244157
Fire HD 10 Tablet | 10.1" 1080p Full HD display, 32 GB, Black - without Ads	Fire HD 10 Tablet | 10.1"	/amazon-fire-hd-10-tablet-1080p-full-hd-display-32-gb-black-without-special-offers/dp/B07KD7SG8V/ref=sr_1_74?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-74	99.99	159.99	0	37.5023439
Panasonic DP-UB150EB-K 4K Ultra HD Blu-Ray Player with HDR10+ Black Compact	Panasonic DP-UB150EB-K 4K	/Panasonic-DP-UB150EB-K-Ultra-Blu-ray-Player-Black/dp/B07NSCHTRC/ref=sr_1_64?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-64	114.99	179.99	607	36.1131174
USB IDE or SATA Adapter, FIDECO USB 3.0 Hard Drive Adapter Universal for 2.5/3.5 inch SATA HDD/SSD & IDE HDD, Included 12V 2A Power Adapter & USB 3.0 Cable	USB IDE or SATA Adapter, 	/Adapter-FIDECO-Drive-Universal-Included/dp/B078GZG4ST/ref=sr_1_26?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-26	15.35	23.99	0	36.01500625
Wavlink USB 3.0 Dual Bay SATA External Hard Drive Docking Station for 2.5 Inch and 3.5 Inch HDD/SSD Support Offline Clone/Backup Functions - Black, Dual Bag	Wavlink USB 3.0 Dual Bay 	/Wavlink-External-Docking-Station-Functions/dp/B01H7D5W4G/ref=sr_1_11?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-11	23.19	35.99	389	35.56543484
Ring Video Doorbell Pro Hardwired | Includes Chime (1st generation), 1080p HD, Two-Way Talk, Wi-Fi, Motion Detection | With 30-day free trial of Ring Protect Plan	Ring Video Doorbell Pro H	/Ring-Doorbell-Transformer-Two-Way-Detection/dp/B072KLVTQP/ref=sr_1_86?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-86	149	229	0	34.93449782
WD Blue 3D NAND Internal SSD 2.5 Inch SATA - 2 TB, Blue - High Performance	WD Blue 3D NAND Internal 	/WD-Blue-NAND-Internal-Inch/dp/B073SBRHH6/ref=sr_1_50?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252024&s=black-friday&sr=1-50	149.99	229.99	0	34.78412105
Netac ZSLIM External Solid State Drive 500GB, USB 3.2 Gen 2 (10 Gbps, Type-C) Portable SSD up to 500 MB/s Read, External Storage Compatible for Mac, Latop, Desktop, Tablet, Android Phones(Black)	Netac ZSLIM External Soli	/Netac-External-Portable-Storage-Compatible/dp/B08BHZTXZN/ref=sr_1_135?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252043&s=black-friday&sr=1-135	55.99	84.99	86	34.12166137
WD 2 TB My Passport Wireless Pro, Black	WD 2 TB My Passport Wirel	/WD-TB-Passport-Wireless-Pro/dp/B01EAOJBHY/ref=sr_1_15?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-15	119.99	181.99	287	34.06780592
SanDisk SSD PLUS 480 GB Sata III 2.5 Inch Internal SSD, Up to 535 MB/s	SanDisk SSD PLUS 480 GB S	/SanDisk-PLUS-Sata-Inch-Internal/dp/B01F9G46Q8/ref=sr_1_24?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-24	42.99	64.99	0	33.85136175
Ring Stick Up Cam Plug-In | HD security camera with Two-Way Talk, Works with Alexa | With 30-day free trial of Ring Protect Plan | White	Ring Stick Up Cam Plug-In	/ring-stick-up-cam-plug-in-hd-security-camera-with-two-way-talk-works-with-alexa/dp/B07VCMJQGT/ref=sr_1_112?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252037&s=black-friday&sr=1-112	59	89	0	33.70786517
HP F2B56AA USB DVD-RW External Drive	HP F2B56AA USB DVD-RW Ext	/HP-F2B56AA-DVD-RW-External-Drive/dp/B00H2FTQEW/ref=sr_1_126?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252040&s=black-friday&sr=1-126	36.02	54.21	520	33.55469471
Crucial BX500 240 GB CT240BX500SSD1(Z)-Up to 540 MB/s (Internal SSD, 3D NAND, SATA, 2.5 Inch), Black	Crucial BX500 240 GB CT24	/Crucial-CT240BX500SSD1Z-Internal-Solid-State/dp/B07G3KRZBX/ref=sr_1_31?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-31	23.99	35.99	0	33.34259517
WD Green 1 TB Internal SSD 2.5 Inch SATA, Green-Performance	WD Green 1 TB Internal SS	/Western-Digital-WDS100T2G0A-GREEN-SATA/dp/B07NNRTTCM/ref=sr_1_69?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-69	69.99	103.99	0	32.69545149
ANNKE 4 Pack 30M/100 Feet BNC Video Power Cable Security Camera Cable for CCTV Surveillance DVR System Installation, Free BNC RCA Connector Included	ANNKE 4 Pack 30M/100 Feet	/ANNKE-Security-Surveillance-Installation-Connector/dp/B00INJBKKY/ref=sr_1_81?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-81	18.21	26.99	0	32.53056688
